fecha,trm
2015-01-01,"2801,26"
2015-01-02,2800.7409633332177
2015-01-03,2800.595502061743
2015-01-04,2798.4150607783013
2015-01-05,2798.15842280291
2015-01-06,2798.3189279111407
2015-01-07,2797.0103523350194
2015-01-08,2797.1658320252623
2015-01-09,2799.2898146397442
2015-01-10,2801.6992044562517
2015-01-11,2797.324157113985
2015-01-12,2798.331161910224
2015-01-13,
2015-01-14,2799.494853877261
2015-01-15,2803.0820163414455
2015-01-16,2805.2317542465576
2015-01-17,2808.7464333944317
2015-01-18,2809.1445046526833
2015-01-19,2812.272706975794
2015-01-20,2812.0445867711633
2015-01-21,2811.204569157554
2015-01-22,2808.13958096988
2015-01-23,2807.9520880687487
2015-01-24,2809.324335877171
2015-01-25,2808.801410761291
2015-01-26,2809.35344712875
2015-01-27,2810.584198975594
2015-01-28,2808.484154329578
2015-01-29,2808.846430857105
2015-01-30,2809.5661601472966
2015-01-31,2812.1733235582738
2015-02-01,2810.745502570184
2015-02-02,error
2015-02-03,2812.4542829449774
2015-02-04,2809.4786603013813
2015-02-05,2809.4694364331845
2015-02-06,2807.0889979513677
2015-02-07,2808.0477413518715
2015-02-08,2807.8815844952646
2015-02-09,2805.035431382649
2015-02-10,2807.247051582139
2015-02-11,2808.3345106190427
2015-02-12,2807.575815016198
2015-02-13,2804.5955776629166
2015-02-14,2804.906939276886
2015-02-15,2803.33430938458
2015-02-16,error
2015-02-17,2806.944237889456
2015-02-18,2806.61089161946
2015-02-19,2807.2908456374757
2015-02-20,2809.7871945296256
2015-02-21,2810.2797451909587
2015-02-22,2811.5808656397353
2015-02-23,2813.3193688888778
2015-02-24,2813.9639423739236
2015-02-25,2814.768488261827
2015-02-26,2817.0933962455933
2015-02-27,2817.5058270636714
2015-02-28,2818.7131183348165
2015-03-01,2818.044243547206
2015-03-02,2820.759299834551
2015-03-03,2821.515778831119
2015-03-04,2821.1643261668996
2015-03-05,2818.9763816497443
2015-03-06,2817.5368375698004
2015-03-07,2820.4358398502036
2015-03-08,2817.5699263124393
2015-03-09,2814.4246388763904
2015-03-10,2813.64472505843
2015-03-11,2814.5334898568963
2015-03-12,2813.5310016357726
2015-03-13,2814.2249696192525
2015-03-14,2813.2452330325814
2015-03-15,2815.3837695773436
2015-03-16,2816.3290077330334
2015-03-17,2814.161453624408
2015-03-18,2814.8788725378745
2015-03-19,2814.9977159384807
2015-03-20,2816.302541515222
2015-03-21,2816.7658804251373
2015-03-22,2817.882809988597
2015-03-23,2817.470713360908
2015-03-24,2817.4381235008314
2015-03-25,2817.1290404920815
2015-03-26,2818.099767112343
2015-03-27,2817.379538810419
2015-03-28,2818.5432131177804
2015-03-29,2817.7907730874676
2015-03-30,2816.744525786541
2015-03-31,2816.668724573185
2015-04-01,2816.664705444006
2015-04-02,2817.7813717820345
2015-04-03,2814.5485756150006
2015-04-04,2813.61042497587
2015-04-05,2812.897782666607
2015-04-06,2813.498671946103
2015-04-07,2813.4584424999425
2015-04-08,2810.8828101079007
2015-04-09,2811.532621060868
2015-04-10,2809.564246590624
2015-04-11,2810.323519294128
2015-04-12,2808.09561385173
2015-04-13,"2810,92"
2015-04-14,2811.148683543794
2015-04-15,2810.329151505472
2015-04-16,2809.572782306464
2015-04-17,2806.263736789334
2015-04-18,2805.1769818897983
2015-04-19,2805.112834968786
2015-04-20,2807.029364104727
2015-04-21,2805.202049376631
2015-04-22,2806.7406261492497
2015-04-23,2807.5280820885478
2015-04-24,2805.3413256365607
2015-04-25,2805.927433232653
2015-04-26,2806.7140892772713
2015-04-27,2805.6893372778745
2015-04-28,2807.5818976145597
2015-04-29,2806.070868465276
2015-04-30,2803.2094321164964
2015-05-01,2804.3207815449273
2015-05-02,2801.976925959899
2015-05-03,2804.2792669971714
2015-05-04,2802.713803400169
2015-05-05,2803.3999596288904
2015-05-06,2801.063913782674
2015-05-07,2802.8723692141502
2015-05-08,2801.6505175207953
2015-05-09,2798.6324756862164
2015-05-10,2797.3029208352
2015-05-11,2796.5209000529385
2015-05-12,2794.446869089769
2015-05-13,2795.674202522612
2015-05-14,2795.8656455034784
2015-05-15,2796.0016952666206
2015-05-16,2792.6466910086788
2015-05-17,2793.322594014448
2015-05-18,2794.237441744134
2015-05-19,2792.627028337092
2015-05-20,2791.172155099332
2015-05-21,2792.9776808814513
2015-05-22,2795.2278067693433
2015-05-23,2795.2330850215376
2015-05-24,2795.118604258208
2015-05-25,2795.1971443988664
2015-05-26,2795.5042465925053
2015-05-27,2794.2366827250107
2015-05-28,2796.8652323894426
2015-05-29,2794.130289495171
2015-05-30,2795.727078225953
2015-05-31,2796.1928441274404
2015-06-01,2797.945282390661
2015-06-02,2796.674945008334
2015-06-03,2797.3070759256875
2015-06-04,2797.989713991905
2015-06-05,2798.8727992288336
2015-06-06,2798.005898867365
2015-06-07,2801.184725004447
2015-06-08,2799.111166886791
2015-06-09,2797.5277524215994
2015-06-10,2796.7740296441716
2015-06-11,2794.1516404278595
2015-06-12,2792.5819658174532
2015-06-13,2792.8294443583945
2015-06-14,2793.6974661137474
2015-06-15,2793.298105348044
2015-06-16,2794.1914169491592
2015-06-17,
2015-06-18,2792.2327112679004
2015-06-19,2789.968662227626
2015-06-20,2792.4023467229017
2015-06-21,2792.429758026131
2015-06-22,2789.895183909381
2015-06-23,2788.1019791054846
2015-06-24,2789.5154209876428
2015-06-25,2791.2575821201704
2015-06-26,2791.7867313811566
2015-06-27,2793.0559187098106
2015-06-28,2792.770601534255
2015-06-29,2793.7325491948554
